Suggestion,Intent,Volume,CPC,PPC,Trend
bad 86be0c5c,0,4442612,11171394,0.781739787789,"[6749214, 3536483, 108835, 4851374, 3714525, 4939135, 1788169, 5992177, 1888955, 8961977, 6742970, 4037534]"
red herring c9053a00,0,6587355,6145385,0.0577551723127,"[9888550, 6833829, 7416650, 6247710, 7791713, 6070106, 7212214, 7576289, 2837503, 7727971, 5849849, 3595883]"
bad 6c6f7e2a,0,4667676,8252977,0.254206150574,"[6073465, 6383470, 778566, 3742000, 7202733, 3669146, 3762835, 8487893, 2485597, 1652410, 9195781, 2578222]"
red herring fcf5106f,0,5140480,15336693,0.464106362081,"[5487445, 3370979, 2406941, 9357625, 2257369, 9071292, 4912274, 8100800, 5799195, 1881616, 2276854, 6763377]"
red herring d914185d,0,4441500,10728625,0.348406518529,"[3775628, 3642679, 1771233, 3995445, 1082074, 4963161, 9122249, 8250823, 141629, 8141954, 4916295, 3494840]"
bad dd0ac0f0,0,5415393,10246919,0.738065250552,"[4053929, 7572511, 7827105, 4373204, 2943123, 9152850, 2296636, 7988706, 6614200, 5122459, 4196705, 2843293]"
bad b175088a,0,4933918,4136588,0.576289713729,"[1378735, 2408038, 3039086, 9893344, 5079353, 5516662, 7641196, 575496, 7903141, 6004802, 348544, 9418624]"
red herring bc1d5ae3,0,6196319,10880818,0.453093684611,"[7127019, 976831, 8387659, 9228670, 8342735, 8835039, 9360634, 628114, 8276506, 3285139, 9895727, 11765]"
bad ba9ef378,0,3773297,19641248,0.0895476326464,"[1062283, 3747514, 2706200, 3713675, 2507451, 4504433, 1892099, 2596086, 7269254, 2106459, 9847442, 3326675]"
bad 38eef29,0,5686998,3506942,0.24198841105,"[4049572, 307764, 5095943, 4764630, 7743373, 8965378, 7441745, 6422961, 9221954, 3428356, 5085768, 5716538]"
red herring 86fc95b2,0,3936338,325737,0.957979861535,"[1372532, 2211368, 2943155, 6612159, 3574231, 6839022, 6127593, 2259418, 788632, 9730975, 4670019, 106952]"
red herring 97432e4d,0,6017733,8870391,0.443310136869,"[5269587, 9648736, 9743195, 4438884, 1922421, 8198412, 2653709, 1813404, 4281142, 8510751, 7276076, 8456483]"
bad d31dc634,0,4381522,16579754,0.704157933314,"[318477, 1919981, 9921152, 7471154, 9422006, 5238615, 171658, 1330266, 942325, 3478416, 8577830, 3786395]"
red herring 842ac7a9,0,4514057,9404017,0.431725140143,"[908790, 7289847, 2238977, 2251165, 1309028, 5812194, 8370078, 2989225, 9089614, 244875, 9409964, 4254931]"
bad 339c7b7f,0,5854513,19897466,0.137941854362,"[5803230, 3783868, 6879304, 8132859, 5540685, 4677670, 5071084, 9601137, 5331128, 9186205, 714646, 5532343]"
bad 41725962,0,5593787,13345556,0.216753815022,"[7726169, 3830517, 8277789, 1358019, 9660293, 5158535, 2773713, 4017210, 9615489, 4439325, 6838000, 3430395]"
bad cd210de0,0,4307186,7634974,0.739728407639,"[4671114, 8119775, 1020769, 6796976, 2272861, 7036240, 6233067, 4068139, 2126955, 6185795, 2548273, 606277]"
red herring 1bd0fc2b,0,4781310,65385,0.34381563891,"[6603717, 702625, 7664291, 5464967, 2487497, 4631145, 2840519, 7406550, 5921891, 7524240, 5788265, 340022]"
red herring 760a5638,0,5378236,10560017,0.308722112859,"[5825749, 6560275, 4449655, 9373125, 2174355, 2353928, 7807620, 2101794, 4422555, 9033392, 7278228, 3158157]"
red herring 4d89b72d,0,5666357,4322624,0.633487463151,"[7335497, 7341321, 7941705, 566191, 3682452, 7189422, 2972621, 5449317, 4257170, 9590459, 2692880, 8977258]"
red herring 44b33ed8,0,3506438,13364184,0.591203626883,"[6772088, 1519441, 673187, 4061398, 39602, 2389772, 9275557, 7452888, 1029203, 2477838, 3337530, 3048763]"
bad 8a8f323a,0,6250147,2342978,0.801646112155,"[9508692, 6023473, 6140242, 7246921, 7116901, 2898112, 4141336, 3554146, 7037897, 8146434, 6877853, 6309761]"
bad 783f3f54,0,5169377,5976320,0.720783682752,"[3493273, 2696398, 7481229, 1850915, 8652258, 2391257, 8003712, 2307762, 6763516, 9653961, 1336226, 7402020]"
bad 1ff6052d,0,5247334,15908380,0.244187520496,"[7940912, 3576399, 5842027, 1846405, 8466263, 3095261, 9020320, 8703453, 9237746, 427973, 4154914, 656336]"
red herring fb480b29,0,5085483,6770187,0.813596680367,"[2674744, 5962867, 3156896, 6690394, 8717583, 6834386, 1232738, 4917972, 3593094, 9945397, 1393465, 5906271]"
red herring 125663ec,0,4224756,5192958,0.359902146218,"[943783, 4357842, 732442, 6841789, 3496058, 5376729, 1282871, 8329808, 9455245, 3862281, 2202747, 3815487]"
bad 754073ca,0,6134617,18936831,0.481754771335,"[5697524, 3481217, 4835615, 9657257, 3059221, 6413267, 8883601, 7241265, 7009991, 9422519, 5796375, 2117559]"
red herring 1ad5b5c7,0,4624758,5453914,0.592805163094,"[2334125, 8665261, 874311, 8239484, 2749513, 760289, 6559965, 4313789, 4634559, 389645, 6526990, 9449165]"
bad a55286bd,0,6570343,9677780,0.983110771628,"[7698463, 8923035, 6366586, 6851564, 9945856, 5812822, 2727521, 9163390, 8317302, 2758910, 1732156, 8546520]"
red herring 16707670,0,3778613,16469235,0.998188444258,"[8505754, 6244811, 4883771, 7223996, 4740184, 1167189, 788251, 597220, 929761, 691165, 7831303, 1739954]"
bad 966e0ffc,0,6171918,11904914,0.467116596786,"[8368665, 8631446, 3463038, 1583517, 3112332, 8502858, 9069596, 7411333, 4011684, 5637682, 6875596, 7395269]"
red herring 1384964e,0,4859883,10542637,0.232219157431,"[1232414, 2631585, 7539172, 3114762, 1389791, 8927672, 1587644, 3365341, 9429995, 4976496, 4438588, 9685144]"
red herring 7cc3bb69,0,3678992,1779085,0.751471714322,"[4213108, 6796128, 8439405, 3011201, 3429905, 767795, 3866449, 9358733, 2211165, 352696, 139602, 1561721]"
